date,lead,model,rmse,mae,iiee,aee,me,me_iiee_ratio
2022-01-08,1,Persistence,0.03099377080798149,0.010363935492932796,32500.0,8750.0,23750.0,0.7307692307692307
2022-01-10,1,Persistence,0.03707423806190491,0.010022859089076519,31250.0,7500.0,23750.0,0.76
2022-01-15,1,Persistence,0.03931513801217079,0.012708254158496857,39375.0,5625.0,33750.0,0.8571428571428571
2022-01-19,1,Persistence,0.036472029983997345,0.010324554517865181,34375.0,1875.0,32500.0,0.9454545454545454
2022-01-25,1,Persistence,0.04947250708937645,0.017501100897789,45625.0,625.0,45000.0,0.9863013698630136
2022-01-26,1,Persistence,0.04626054689288139,0.01714421436190605,40625.0,4375.0,36250.0,0.8923076923076924
2022-01-30,1,Persistence,0.031028008088469505,0.01047421246767044,34375.0,6875.0,27500.0,0.8
2022-01-31,1,Persistence,0.03468494117259979,0.011522026732563972,31875.0,1875.0,30000.0,0.9411764705882353
2022-02-01,1,Persistence,0.03420785814523697,0.012443662621080875,33750.0,13750.0,20000.0,0.5925925925925926
2022-02-03,1,Persistence,0.03828790411353111,0.012992579489946365,38125.0,11875.0,26250.0,0.6885245901639344
2022-02-04,1,Persistence,0.036448512226343155,0.011998439207673073,35000.0,10000.0,25000.0,0.7142857142857143
2022-02-14,1,Persistence,0.030686700716614723,0.011067117564380169,35000.0,8750.0,26250.0,0.75
2022-02-21,1,Persistence,0.042297519743442535,0.016488712280988693,33750.0,7500.0,26250.0,0.7777777777777778
2022-02-22,1,Persistence,0.039853472262620926,0.013344720005989075,37500.0,0.0,37500.0,1.0
2022-02-25,1,Persistence,0.048554833978414536,0.016421236097812653,46875.0,5625.0,41250.0,0.88
2022-02-26,1,Persistence,0.04717307165265083,0.01581002213060856,48125.0,10625.0,37500.0,0.7792207792207793
2022-03-01,1,Persistence,0.03343016654253006,0.010813429020345211,35625.0,10625.0,25000.0,0.7017543859649122
2022-03-02,1,Persistence,0.04219264164566994,0.010932153090834618,40625.0,19375.0,21250.0,0.5230769230769231
2022-03-11,1,Persistence,0.053087424486875534,0.01658032462000847,55625.0,5625.0,50000.0,0.898876404494382
2022-03-12,1,Persistence,0.04139604791998863,0.013013698160648346,33750.0,10000.0,23750.0,0.7037037037037037
2022-03-18,1,Persistence,0.0463305227458477,0.015129342675209045,50625.0,16875.0,33750.0,0.6666666666666666
2022-03-19,1,Persistence,0.043680544942617416,0.014481380581855774,45625.0,21875.0,23750.0,0.5205479452054794
2022-03-21,1,Persistence,0.05448580160737038,0.018323900178074837,60625.0,23125.0,37500.0,0.6185567010309279
2022-03-22,1,Persistence,0.04742055758833885,0.01505774911493063,53750.0,22500.0,31250.0,0.5813953488372093
2022-03-26,1,Persistence,0.03477983549237251,0.011435946449637413,33125.0,14375.0,18750.0,0.5660377358490566
2022-03-27,1,Persistence,0.033926475793123245,0.011939440853893757,33125.0,1875.0,31250.0,0.9433962264150944
2022-04-20,1,Persistence,0.03635700047016144,0.011780324392020702,34375.0,13125.0,21250.0,0.6181818181818182
2022-04-21,1,Persistence,0.04873409494757652,0.014917265623807907,34375.0,5625.0,28750.0,0.8363636363636363
2022-04-27,1,Persistence,0.05975623056292534,0.026531586423516273,31875.0,10625.0,21250.0,0.6666666666666666
2022-04-28,1,Persistence,0.04836885631084442,0.0181418489664793,32500.0,6250.0,26250.0,0.8076923076923077
2022-05-13,1,Persistence,0.039968427270650864,0.018261123448610306,38750.0,17500.0,21250.0,0.5483870967741935
2022-05-17,1,Persistence,0.036200765520334244,0.0152579415589571,31250.0,3750.0,27500.0,0.88
2022-05-20,1,Persistence,0.03793523460626602,0.01630716770887375,33750.0,10000.0,23750.0,0.7037037037037037
2022-05-21,1,Persistence,0.039990562945604324,0.017038503661751747,37500.0,6250.0,31250.0,0.8333333333333334
2022-05-22,1,Persistence,0.04043871536850929,0.017210738733410835,35000.0,12500.0,22500.0,0.6428571428571429
2022-05-23,1,Persistence,0.03687094524502754,0.014384814538061619,35000.0,12500.0,22500.0,0.6428571428571429
2022-06-22,1,Persistence,0.024881815537810326,0.00805041566491127,40000.0,12500.0,27500.0,0.6875
2022-06-24,1,Persistence,0.03008859045803547,0.009514187462627888,43750.0,3750.0,40000.0,0.9142857142857143
2022-06-27,1,Persistence,0.02740561217069626,0.008512462489306927,41875.0,18125.0,23750.0,0.5671641791044776
2022-06-29,1,Persistence,0.02247089333832264,0.007247992791235447,31250.0,3750.0,27500.0,0.88
2022-06-30,1,Persistence,0.020362157374620438,0.006201650481671095,35000.0,11250.0,23750.0,0.6785714285714286
2022-07-03,1,Persistence,0.022681767120957375,0.006691344548016787,31250.0,8750.0,22500.0,0.72
2022-07-25,1,Persistence,0.02772376872599125,0.006780785508453846,36875.0,8125.0,28750.0,0.7796610169491526
2022-07-26,1,Persistence,0.030657941475510597,0.008253034204244614,35625.0,9375.0,26250.0,0.7368421052631579
2022-07-27,1,Persistence,0.030340133234858513,0.009279610589146614,31875.0,15625.0,16250.0,0.5098039215686274
2022-08-18,1,Persistence,0.035635873675346375,0.009616627357900143,37500.0,11250.0,26250.0,0.7
2022-10-19,1,Persistence,0.031306058168411255,0.0074347564950585365,35000.0,6250.0,28750.0,0.8214285714285714
2022-10-27,1,Persistence,0.05435008555650711,0.013181306421756744,93125.0,28125.0,65000.0,0.697986577181208
2022-10-31,1,Persistence,0.05803577974438667,0.018235083669424057,71250.0,16250.0,55000.0,0.7719298245614035
2022-11-02,1,Persistence,0.06695467233657837,0.021407168358564377,76875.0,35625.0,41250.0,0.5365853658536586
